user_id,transaction_count,credit_count,debit_count,total_credits,total_debits,min_balance,max_balance,current_balance,first_transaction,last_transaction,overdraft_flag
daa2bf74-cf31-4552-9e85-acb48a7c3f90,2,2,0,110.0,0.0,730.0,780.0,780.0,2023-12-12T09:22:16.709Z,2023-12-12T09:31:09.523Z,False
7ea81f9e-1a24-4664-bd94-4d88dc6fd07d,4,1,3,0.55,24.0,96.5,120.5,96.5,2023-12-12T09:18:39.633Z,2023-12-12T09:19:10.932Z,False
